Atom Num Conju-All Ratio,AtomWt Conju-All Ratio,Atom_PEOE-Charge_Sum,Atom_LogP_Sum,Atom_MR_Sum,Atom_PEOE-Charge_Mean,Atom_LogP_Mean,Atom_MR_Mean,Atom_PEOE-Charge_Std,Atom_LogP_Std,Atom_MR_Std,Atom_PEOE-Charge_Max,Atom_LogP_Max,Atom_MR_Max,Atom_PEOE-Charge_Min,Atom_LogP_Min,Atom_MR_Min,Atom_PEOE-Charge_Delta,Atom_LogP_Delta,Atom_MR_Delta
0.666666667,0.603901242,-4.16E-17,3.2978,68.8235,-1.22E-18,0.096994118,2.024220588,0.165557879,0.171707198,1.167047413,0.417377964,0.4202,5.007,-0.464356471,-0.3239,0.2215,0.881734435,0.7441,4.7855
0.842105263,0.807514974,5.55E-17,2.15068,68.5365,1.73E-18,0.06720875,2.141765625,0.150671611,0.141303339,1.206832314,0.354164434,0.1581,5.007,-0.464356471,-0.3239,0.2215,0.818520905,0.482,4.7855
0.833333333,0.814375623,8.33E-17,2.9324,68.8315,2.69E-18,0.094593548,2.220370968,0.147684567,0.181641229,1.357397011,0.354164434,0.6895,5.853,-0.464356471,-0.3239,0.2215,0.818520905,1.0134,5.6315
0.777777778,0.737316512,1.67E-16,2.58742,68.5585,4.90E-18,0.076100588,2.016426471,0.140322943,0.137078009,1.169251081,0.354164434,0.1581,5.007,-0.464356471,-0.3239,0.2215,0.818520905,0.482,4.7855
0.666666667,0.599194015,-2.78E-17,3.9028,71.0285,-7.93E-19,0.111508571,2.029385714,0.157090223,0.153280252,1.182837461,0.415886404,0.4202,5.007,-0.464356471,-0.3239,0.2215,0.880242875,0.7441,4.7855
0.85,0.819534375,-1.39E-17,2.89478,70.6995,-4.21E-19,0.087720606,2.142409091,0.145723442,0.134974943,1.217486142,0.354164434,0.4202,5.007,-0.464356471,-0.3239,0.2215,0.818520905,0.7441,4.7855
0.681818182,0.625262477,1.39E-17,4.0419,70.9865,3.97E-19,0.115482857,2.028185714,0.162378278,0.162760839,1.178801305,0.418701092,0.4202,5.007,-0.464356471,-0.3239,0.2215,0.883057563,0.7441,4.7855
0.666666667,0.618406763,-9.02E-17,3.9523,83.485,-2.20E-18,0.096397561,2.036219512,0.146018206,0.145716823,1.249223042,0.354164434,0.4202,5.007,-0.464356471,-0.3239,0.2215,0.818520904,0.7441,4.7855
0.823529412,0.77689627,-1.67E-16,2.884,66.0265,-5.20E-18,0.090125,2.063328125,0.138667813,0.122495918,1.206576313,0.354164434,0.1581,5.007,-0.464356471,-0.3239,0.2215,0.818520904,0.482,4.7855
0.826086957,0.78555814,3.33E-16,3.5506,86.5838,7.93E-18,0.084538095,2.061519048,0.163403035,0.139462161,1.269434661,0.352002,0.298,5.007,-0.476568812,-0.3239,0.2215,0.828570813,0.6219,4.7855
0.842105263,0.833899679,2.22E-16,2.4665,66.5845,7.40E-18,0.082216667,2.219483333,0.163757134,0.208056752,1.343771077,0.354276616,0.6895,5.853,-0.464355169,-0.3239,0.2215,0.818631785,1.0134,5.6315
